key,id,title,link
database,mongodb,MongoDB,
database,postgresql,PostgreSQL,
framework,bulma,Bulma,
framework,godot,Godot,
framework,jekyll,Jekyll,
language,css,CSS,
language,glsl,GLSL,
language,html,HTML,
language,js,Javascript,
language,python,Python,
language,r,R,
language,ruby,Ruby,
library,d3,d3,
library,leaflet,Leaflet,
library,p5,p5,
media,acrylic-paint,acrylic paint,
media,alcohol-markers,alcohol markers,
media,collage,collage,
media,colored-pencils,colored pencils,
media,gouache,gouache,
media,graphite,graphite,
media,ink,ink,
media,oil-paint,oil paint,
media,oil-pastels,oil pastels,
media,paint-markers,paint markers,
media,paper,paper,
media,pigment-pens,pigment pens,
media,synthetic-surface,synthetic surface,
media,watercolor,watercolor,
palette,bw,black and white,
palette,clement8,Clément 8,https://lospec.com/palette-list/clement-8
palette,color,color,
palette,hisat,high saturation,
palette,losat,low saturation,
palette,matriax8c,Matriax8c,https://lospec.com/palette-list/matriax8c
palette,mono,monochromatic,
palette,pico8,Pico 8,https://lospec.com/palette-list/pico-8
palette,shikiori,Sailor Shikiori,https://shikiori-en.sailor.co.jp/ink-color-lineup/
rte,nodejs,NodeJS,
software,aseprite,Aseprite,
software,blender,Blender,
software,gimp,GIMP,
software,inkscape,Inkscape,
software,krita,Krita,
software,procreate,Procreate,
